,group_id,eff2minus1_group,RhoCase,method1_bonf,"method1_bonf, method5_T",method5_T,n
1,1,-,rho01 < rho02,0% (n = 2),0%,100% (n = 3598),3600
2,2,-,rho01 = rho02,13% (n = 234),0% (n = 1),87% (n = 1565),1800
3,3,-,rho01 > rho02,12% (n = 426),1% (n = 27),87% (n = 3147),3600
4,4,0,rho01 < rho02,5% (n = 47),0%,95% (n = 853),900
5,5,0,rho01 = rho02,59% (n = 267),0%,41% (n = 183),450
6,6,0,rho01 > rho02,5% (n = 47),0%,95% (n = 853),900
7,7,0.05 to 0.19,rho01 < rho02,27% (n = 1227),1% (n = 27),72% (n = 3246),4500
8,8,0.05 to 0.19,rho01 = rho02,16% (n = 369),0% (n = 4),83% (n = 1877),2250
9,9,0.05 to 0.19,rho01 > rho02,2% (n = 89),0% (n = 5),98% (n = 4406),4500
10,10,0.20 to 0.29,rho01 < rho02,0% (n = 15),0% (n = 1),100% (n = 3584),3600
11,11,0.20 to 0.29,rho01 = rho02,0%,0%,100% (n = 1800),1800
12,12,0.20 to 0.29,rho01 > rho02,0%,0%,100% (n = 3600),3600
13,13,0.30 to 0.39,rho01 < rho02,0%,0%,100% (n = 2700),2700
14,14,0.30 to 0.39,rho01 = rho02,0%,0%,100% (n = 1350),1350
15,15,0.30 to 0.39,rho01 > rho02,0%,0%,100% (n = 2700),2700
16,16,0.40 to 0.49,rho01 < rho02,0%,0%,100% (n = 2700),2700
17,17,0.40 to 0.49,rho01 = rho02,0%,0%,100% (n = 1350),1350
18,18,0.40 to 0.49,rho01 > rho02,0%,0%,100% (n = 2700),2700
