,BetaCase,VarCase,RhoCase,method2,"method2, method3",method3,method4,n
1,beta1 < beta2,varY1 < varY2,rho01 < rho02,35% (n = 1881),3% (n = 147),51% (n = 2764),16% (n = 865),5400
2,beta1 < beta2,varY1 < varY2,rho01 = rho02,50% (n = 1312),2% (n = 44),42% (n = 1133),9% (n = 238),2700
3,beta1 < beta2,varY1 < varY2,rho01 > rho02,54% (n = 2894),7% (n = 388),15% (n = 831),29% (n = 1586),5400
4,beta1 < beta2,varY1 = varY2,rho01 < rho02,57% (n = 1547),4% (n = 105),13% (n = 360),26% (n = 692),2700
5,beta1 < beta2,varY1 = varY2,rho01 = rho02,0%,64% (n = 863),0%,36% (n = 487),1350
6,beta1 < beta2,varY1 = varY2,rho01 > rho02,0%,1% (n = 33),40% (n = 1075),61% (n = 1659),2700
7,beta1 < beta2,varY1 > varY2,rho01 < rho02,0%,4% (n = 234),39% (n = 2095),66% (n = 3559),5400
8,beta1 < beta2,varY1 > varY2,rho01 = rho02,0%,1% (n = 34),31% (n = 841),72% (n = 1953),2700
9,beta1 < beta2,varY1 > varY2,rho01 > rho02,0%,2% (n = 92),24% (n = 1294),87% (n = 4717),5400
10,beta1 = beta2,varY1 < varY2,rho01 < rho02,0%,16% (n = 279),71% (n = 1284),55% (n = 983),1800
11,beta1 = beta2,varY1 < varY2,rho01 = rho02,0%,12% (n = 105),91% (n = 817),23% (n = 207),900
12,beta1 = beta2,varY1 < varY2,rho01 > rho02,0%,23% (n = 408),89% (n = 1602),23% (n = 414),1800
13,beta1 = beta2,varY1 = varY2,rho01 < rho02,0%,14% (n = 123),89% (n = 799),15% (n = 136),900
14,beta1 = beta2,varY1 = varY2,rho01 = rho02,0%,100% (n = 450),0% (n = 2),0% (n = 2),450
15,beta1 = beta2,varY1 = varY2,rho01 > rho02,0%,14% (n = 123),89% (n = 799),15% (n = 136),900
16,beta1 = beta2,varY1 > varY2,rho01 < rho02,0%,23% (n = 408),89% (n = 1602),23% (n = 414),1800
17,beta1 = beta2,varY1 > varY2,rho01 = rho02,0%,12% (n = 105),91% (n = 817),23% (n = 207),900
18,beta1 = beta2,varY1 > varY2,rho01 > rho02,0%,16% (n = 279),71% (n = 1284),55% (n = 983),1800
