"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method4","n"
"1",25,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","10% (n = 44)","61% (n = 274)","65% (n = 294)",450
"2",5,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","9% (n = 42)","69% (n = 310)","55% (n = 246)",450
"3",45,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","8% (n = 34)","83% (n = 374)","29% (n = 130)",450
"4",65,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","11% (n = 49)","89% (n = 401)","24% (n = 109)",450
"5",85,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","19% (n = 87)","85% (n = 382)","25% (n = 114)",450
"6",21,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","23% (n = 104)","72% (n = 323)","56% (n = 252)",450
"7",1,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","20% (n = 89)","84% (n = 377)","42% (n = 191)",450
"8",41,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","16% (n = 71)","98% (n = 443)","17% (n = 77)",450
"9",61,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","26% (n = 118)","93% (n = 419)","19% (n = 87)",450
"10",81,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","34% (n = 154)","89% (n = 400)","23% (n = 104)",450
"11",29,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","13% (n = 58)","86% (n = 386)","24% (n = 108)",450
"12",9,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","14% (n = 65)","92% (n = 413)","6% (n = 28)",450
"13",49,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.1)",0,"0%","100% (n = 450)","0% (n = 2)","0% (n = 2)",450
"14",69,"(0.4, 0.4)",0,"(1, 1)",0,"(0.07, 0.1)",0.03,"0%","14% (n = 65)","92% (n = 413)","6% (n = 28)",450
"15",89,"(0.4, 0.4)",0,"(1, 1)",0,"(0.05, 0.1)",0.05,"0%","13% (n = 58)","86% (n = 386)","24% (n = 108)",450
"16",33,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"0%","34% (n = 154)","89% (n = 400)","23% (n = 104)",450
"17",13,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"0%","26% (n = 118)","93% (n = 419)","19% (n = 87)",450
"18",53,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0%","16% (n = 71)","98% (n = 443)","17% (n = 77)",450
"19",73,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"0%","20% (n = 89)","84% (n = 377)","42% (n = 191)",450
"20",93,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0%","23% (n = 104)","72% (n = 323)","56% (n = 252)",450
"21",37,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"0%","19% (n = 87)","85% (n = 382)","25% (n = 114)",450
"22",17,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"0%","11% (n = 49)","89% (n = 401)","24% (n = 109)",450
"23",57,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"0%","8% (n = 34)","83% (n = 374)","29% (n = 130)",450
"24",77,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","9% (n = 42)","69% (n = 310)","55% (n = 246)",450
"25",97,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","10% (n = 44)","61% (n = 274)","65% (n = 294)",450
"26",26,"(0.3, 0.4)",0.1,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0% (n = 2)","35% (n = 157)","85% (n = 382)",450
"27",6,"(0.3, 0.4)",0.1,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","39% (n = 176)","72% (n = 326)",450
"28",46,"(0.3, 0.4)",0.1,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","53% (n = 240)","55% (n = 248)",450
"29",66,"(0.3, 0.4)",0.1,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","4% (n = 17)","64% (n = 287)","47% (n = 211)",450
"30",86,"(0.3, 0.4)",0.1,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","9% (n = 40)","68% (n = 306)","42% (n = 189)",450
"31",22,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","10% (n = 45)","53% (n = 239)","72% (n = 326)",450
"32",2,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","10% (n = 43)","62% (n = 279)","57% (n = 258)",450
"33",42,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","8% (n = 34)","76% (n = 344)","34% (n = 152)",450
"34",62,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","11% (n = 49)","80% (n = 362)","31% (n = 141)",450
"35",82,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","20% (n = 91)","76% (n = 341)","30% (n = 135)",450
"36",30,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","4% (n = 18)","67% (n = 303)","42% (n = 187)",450
"37",10,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","3% (n = 15)","83% (n = 373)","15% (n = 69)",450
"38",50,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.1)",0,"0%","100% (n = 450)","0%","0%",450
"39",70,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.07, 0.1)",0.03,"91% (n = 409)","9% (n = 41)","0%","0%",450
"40",90,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.05, 0.1)",0.05,"6% (n = 27)","14% (n = 64)","80% (n = 360)","0% (n = 1)",450
"41",34,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"69% (n = 309)","23% (n = 104)","12% (n = 52)","20% (n = 90)",450
"42",14,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"76% (n = 340)","24% (n = 106)","9% (n = 41)","8% (n = 37)",450
"43",54,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0%","10% (n = 43)","93% (n = 420)","3% (n = 13)",450
"44",74,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"0%","10% (n = 46)","99% (n = 444)","9% (n = 40)",450
"45",94,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0%","10% (n = 45)","84% (n = 378)","29% (n = 132)",450
"46",38,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"21% (n = 94)","21% (n = 95)","62% (n = 281)","4% (n = 20)",450
"47",18,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"0%","6% (n = 28)","94% (n = 424)","0% (n = 2)",450
"48",58,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"0%","0%","100% (n = 450)","0%",450
"49",78,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","0%","89% (n = 399)","17% (n = 76)",450
"50",98,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","0% (n = 2)","68% (n = 307)","42% (n = 188)",450
"51",27,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","16% (n = 71)","95% (n = 427)",450
