"","group_id","eff1eff2","eff2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method4","n"
"1",92,"(0.57, 0.33)",-0.24,"(0.1, 0.05)",-0.05,"0%","19% (n = 87)","85% (n = 382)","25% (n = 114)",450
"2",91,"(0.57, 0.33)",-0.24,"(0.1, 0.07)",-0.03,"0%","11% (n = 49)","89% (n = 401)","24% (n = 109)",450
"3",93,"(0.57, 0.33)",-0.24,"(0.1, 0.1)",0,"0%","8% (n = 34)","83% (n = 374)","29% (n = 130)",450
"4",94,"(0.57, 0.33)",-0.24,"(0.07, 0.1)",0.03,"0%","9% (n = 42)","69% (n = 310)","55% (n = 246)",450
"5",95,"(0.57, 0.33)",-0.24,"(0.05, 0.1)",0.05,"0%","10% (n = 44)","61% (n = 274)","65% (n = 294)",450
"6",97,"(0.57, 0.4)",-0.17,"(0.1, 0.05)",-0.05,"0%","34% (n = 154)","89% (n = 400)","23% (n = 104)",450
"7",96,"(0.57, 0.4)",-0.17,"(0.1, 0.07)",-0.03,"0%","26% (n = 118)","93% (n = 419)","19% (n = 87)",450
"8",98,"(0.57, 0.4)",-0.17,"(0.1, 0.1)",0,"0%","16% (n = 71)","98% (n = 443)","17% (n = 77)",450
"9",99,"(0.57, 0.4)",-0.17,"(0.07, 0.1)",0.03,"0%","20% (n = 89)","84% (n = 377)","42% (n = 191)",450
"10",100,"(0.57, 0.4)",-0.17,"(0.05, 0.1)",0.05,"0%","23% (n = 104)","72% (n = 323)","56% (n = 252)",450
"11",82,"(0.42, 0.33)",-0.09,"(0.1, 0.05)",-0.05,"21% (n = 94)","21% (n = 95)","62% (n = 281)","4% (n = 20)",450
"12",81,"(0.42, 0.33)",-0.09,"(0.1, 0.07)",-0.03,"0%","6% (n = 28)","94% (n = 424)","0% (n = 2)",450
"13",83,"(0.42, 0.33)",-0.09,"(0.1, 0.1)",0,"0%","0%","100% (n = 450)","0%",450
"14",84,"(0.42, 0.33)",-0.09,"(0.07, 0.1)",0.03,"0%","0%","89% (n = 399)","17% (n = 76)",450
"15",85,"(0.42, 0.33)",-0.09,"(0.05, 0.1)",0.05,"0%","0% (n = 2)","68% (n = 307)","42% (n = 188)",450
"16",87,"(0.42, 0.4)",-0.02,"(0.1, 0.05)",-0.05,"69% (n = 309)","23% (n = 104)","12% (n = 52)","20% (n = 90)",450
"17",86,"(0.42, 0.4)",-0.02,"(0.1, 0.07)",-0.03,"76% (n = 340)","24% (n = 106)","9% (n = 41)","8% (n = 37)",450
"18",88,"(0.42, 0.4)",-0.02,"(0.1, 0.1)",0,"0%","10% (n = 43)","93% (n = 420)","3% (n = 13)",450
"19",89,"(0.42, 0.4)",-0.02,"(0.07, 0.1)",0.03,"0%","10% (n = 46)","99% (n = 444)","9% (n = 40)",450
"20",90,"(0.42, 0.4)",-0.02,"(0.05, 0.1)",0.05,"0%","10% (n = 45)","84% (n = 378)","29% (n = 132)",450
"21",72,"(0.4, 0.4)",0,"(0.1, 0.05)",-0.05,"0%","13% (n = 58)","86% (n = 386)","24% (n = 108)",450
"22",71,"(0.4, 0.4)",0,"(0.1, 0.07)",-0.03,"0%","14% (n = 65)","92% (n = 413)","6% (n = 28)",450
"23",73,"(0.4, 0.4)",0,"(0.1, 0.1)",0,"0%","100% (n = 450)","0% (n = 2)","0% (n = 2)",450
"24",74,"(0.4, 0.4)",0,"(0.07, 0.1)",0.03,"0%","14% (n = 65)","92% (n = 413)","6% (n = 28)",450
"25",75,"(0.4, 0.4)",0,"(0.05, 0.1)",0.05,"0%","13% (n = 58)","86% (n = 386)","24% (n = 108)",450
"26",47,"(0.28, 0.33)",0.05,"(0.1, 0.05)",-0.05,"80% (n = 360)","1% (n = 4)","0%","19% (n = 86)",450
"27",46,"(0.28, 0.33)",0.05,"(0.1, 0.07)",-0.03,"100% (n = 449)","0%","0%","0% (n = 1)",450
"28",48,"(0.28, 0.33)",0.05,"(0.1, 0.1)",0,"41% (n = 186)","0% (n = 1)","58% (n = 263)","0%",450
"29",49,"(0.28, 0.33)",0.05,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 450)","0%",450
"30",50,"(0.28, 0.33)",0.05,"(0.05, 0.1)",0.05,"0%","0%","98% (n = 443)","2% (n = 7)",450
"31",57,"(0.3, 0.4)",0.1,"(0.1, 0.05)",-0.05,"0%","4% (n = 18)","67% (n = 303)","42% (n = 187)",450
"32",56,"(0.3, 0.4)",0.1,"(0.1, 0.07)",-0.03,"0%","3% (n = 15)","83% (n = 373)","15% (n = 69)",450
"33",58,"(0.3, 0.4)",0.1,"(0.1, 0.1)",0,"0%","100% (n = 450)","0%","0%",450
"34",59,"(0.3, 0.4)",0.1,"(0.07, 0.1)",0.03,"91% (n = 409)","9% (n = 41)","0%","0%",450
"35",60,"(0.3, 0.4)",0.1,"(0.05, 0.1)",0.05,"6% (n = 27)","14% (n = 64)","80% (n = 360)","0% (n = 1)",450
"36",52,"(0.28, 0.4)",0.12,"(0.1, 0.05)",-0.05,"58% (n = 259)","8% (n = 36)","7% (n = 33)","43% (n = 194)",450
"37",51,"(0.28, 0.4)",0.12,"(0.1, 0.07)",-0.03,"82% (n = 367)","3% (n = 15)","0%","16% (n = 70)",450
"38",53,"(0.28, 0.4)",0.12,"(0.1, 0.1)",0,"100% (n = 450)","0%","0%","0%",450
"39",54,"(0.28, 0.4)",0.12,"(0.07, 0.1)",0.03,"84% (n = 379)","8% (n = 35)","8% (n = 36)","0%",450
"40",55,"(0.28, 0.4)",0.12,"(0.05, 0.1)",0.05,"28% (n = 124)","4% (n = 19)","68% (n = 307)","0%",450
"41",77,"(0.4, 0.57)",0.17,"(0.1, 0.05)",-0.05,"0%","23% (n = 104)","72% (n = 323)","56% (n = 252)",450
"42",76,"(0.4, 0.57)",0.17,"(0.1, 0.07)",-0.03,"0%","20% (n = 89)","84% (n = 377)","42% (n = 191)",450
"43",78,"(0.4, 0.57)",0.17,"(0.1, 0.1)",0,"0%","16% (n = 71)","98% (n = 443)","17% (n = 77)",450
"44",79,"(0.4, 0.57)",0.17,"(0.07, 0.1)",0.03,"0%","26% (n = 118)","93% (n = 419)","19% (n = 87)",450
"45",80,"(0.4, 0.57)",0.17,"(0.05, 0.1)",0.05,"0%","34% (n = 154)","89% (n = 400)","23% (n = 104)",450
"46",17,"(0.14, 0.33)",0.19,"(0.1, 0.05)",-0.05,"43% (n = 195)","0%","0%","57% (n = 257)",450
"47",16,"(0.14, 0.33)",0.19,"(0.1, 0.07)",-0.03,"64% (n = 290)","0%","0%","36% (n = 160)",450
"48",18,"(0.14, 0.33)",0.19,"(0.1, 0.1)",0,"84% (n = 380)","0%","0%","16% (n = 70)",450
"49",19,"(0.14, 0.33)",0.19,"(0.07, 0.1)",0.03,"85% (n = 381)","0%","0%","15% (n = 69)",450
"50",20,"(0.14, 0.33)",0.19,"(0.05, 0.1)",0.05,"82% (n = 368)","0%","0%","18% (n = 82)",450
"51",32,"(0.2, 0.4)",0.2,"(0.1, 0.05)",-0.05,"0%","0%","31% (n = 138)","69% (n = 312)",450
"52",31,"(0.2, 0.4)",0.2,"(0.1, 0.07)",-0.03,"0%","0%","46% (n = 205)","55% (n = 247)",450
"53",33,"(0.2, 0.4)",0.2,"(0.1, 0.1)",0,"0%","75% (n = 339)","0%","25% (n = 111)",450
"54",34,"(0.2, 0.4)",0.2,"(0.07, 0.1)",0.03,"82% (n = 367)","0%","0%","19% (n = 84)",450
"55",35,"(0.2, 0.4)",0.2,"(0.05, 0.1)",0.05,"83% (n = 375)","0%","0%","17% (n = 75)",450
"56",67,"(0.33, 0.57)",0.24,"(0.1, 0.05)",-0.05,"0%","10% (n = 44)","61% (n = 274)","65% (n = 294)",450
"57",66,"(0.33, 0.57)",0.24,"(0.1, 0.07)",-0.03,"0%","9% (n = 42)","69% (n = 310)","55% (n = 246)",450
"58",68,"(0.33, 0.57)",0.24,"(0.1, 0.1)",0,"0%","8% (n = 34)","83% (n = 374)","29% (n = 130)",450
"59",69,"(0.33, 0.57)",0.24,"(0.07, 0.1)",0.03,"0%","11% (n = 49)","89% (n = 401)","24% (n = 109)",450
"60",70,"(0.33, 0.57)",0.24,"(0.05, 0.1)",0.05,"0%","19% (n = 87)","85% (n = 382)","25% (n = 114)",450
"61",22,"(0.14, 0.4)",0.26,"(0.1, 0.05)",-0.05,"15% (n = 67)","0%","0%","85% (n = 383)",450
"62",21,"(0.14, 0.4)",0.26,"(0.1, 0.07)",-0.03,"36% (n = 164)","0%","0%","64% (n = 286)",450
"63",23,"(0.14, 0.4)",0.26,"(0.1, 0.1)",0,"66% (n = 296)","0%","0%","34% (n = 155)",450
"64",24,"(0.14, 0.4)",0.26,"(0.07, 0.1)",0.03,"70% (n = 315)","0%","0%","30% (n = 135)",450
"65",25,"(0.14, 0.4)",0.26,"(0.05, 0.1)",0.05,"70% (n = 314)","0%","0%","30% (n = 136)",450
"66",62,"(0.3, 0.57)",0.27,"(0.1, 0.05)",-0.05,"0%","10% (n = 45)","53% (n = 239)","72% (n = 326)",450
"67",61,"(0.3, 0.57)",0.27,"(0.1, 0.07)",-0.03,"0%","10% (n = 43)","62% (n = 279)","57% (n = 258)",450
"68",63,"(0.3, 0.57)",0.27,"(0.1, 0.1)",0,"0%","8% (n = 34)","76% (n = 344)","34% (n = 152)",450
"69",64,"(0.3, 0.57)",0.27,"(0.07, 0.1)",0.03,"0%","11% (n = 49)","80% (n = 362)","31% (n = 141)",450
"70",65,"(0.3, 0.57)",0.27,"(0.05, 0.1)",0.05,"0%","20% (n = 91)","76% (n = 341)","30% (n = 135)",450
"71",7,"(0.1, 0.4)",0.3,"(0.1, 0.05)",-0.05,"0%","0%","4% (n = 18)","96% (n = 432)",450
