Parameter,Value,1. W1DF - CONJ is 0% to 5%,2. W1DF - CONJ is 5% to 10%,3. W1DF - CONJ is 10% to 20%,4. W1DF - CONJ is > 20%,n
K,4,1%,7%,34%,58%,7500
K,6,0%,1%,12%,87%,7500
K,8,0%,1%,7%,92%,7500
K,10,0%,1%,9%,90%,7500
K,20,19%,11%,16%,55%,7500
K,30,42%,10%,8%,40%,7500
m,50,9%,6%,15%,70%,15000
m,70,11%,4%,14%,71%,15000
m,100,12%,5%,14%,70%,15000
eff2minus1_group,-,25%,5%,16%,54%,9000
eff2minus1_group,0,26%,9%,16%,49%,2250
eff2minus1_group,0.05 to 0.19,10%,10%,20%,60%,11250
eff2minus1_group,0.20 to 0.29,7%,5%,14%,74%,9000
eff2minus1_group,0.30 to 0.39,1%,2%,12%,86%,6750
eff2minus1_group,0.40 to 0.49,0%,0%,4%,96%,6750
RhoCase,rho01 < rho02,13%,5%,17%,65%,18000
RhoCase,rho01 = rho02,7%,5%,15%,73%,9000
RhoCase,rho01 > rho02,10%,5%,11%,74%,18000
rho1,0.005,10%,4%,7%,80%,9000
rho1,0.01,10%,4%,7%,80%,9000
rho1,0.02,10%,4%,9%,78%,9000
rho1,0.05,10%,5%,21%,64%,9000
rho1,0.07,12%,10%,28%,49%,9000
rho2,0.1,10%,5%,13%,72%,9000
rho2,0.3,10%,5%,14%,71%,9000
rho2,0.5,10%,5%,14%,70%,9000
rho2,0.7,11%,5%,15%,69%,9000
rho2,0.9,11%,6%,16%,68%,9000
