"","group_id","eff2minus1_group","RhoCase","method1_bonf","method1_bonf, method5_T","method5_T","n"
"1",1,"-","rho01 < rho02","0% (n = 2)","0%","100% (n = 2398)",2400
"2",2,"-","rho01 = rho02","19% (n = 233)","0%","81% (n = 967)",1200
"3",3,"-","rho01 > rho02","18% (n = 428)","0%","82% (n = 1972)",2400
"4",4,"0","rho01 < rho02","8% (n = 47)","0% (n = 1)","92% (n = 552)",600
"5",5,"0","rho01 = rho02","75% (n = 226)","0%","25% (n = 74)",300
"6",6,"0","rho01 > rho02","8% (n = 46)","0% (n = 1)","92% (n = 553)",600
"7",7,"0.05 to 0.19","rho01 < rho02","38% (n = 1143)","0% (n = 3)","62% (n = 1854)",3000
"8",8,"0.05 to 0.19","rho01 = rho02","24% (n = 365)","0% (n = 4)","75% (n = 1131)",1500
"9",9,"0.05 to 0.19","rho01 > rho02","3% (n = 94)","0%","97% (n = 2906)",3000
"10",10,"0.20 to 0.29","rho01 < rho02","1% (n = 17)","0%","99% (n = 2383)",2400
"11",11,"0.20 to 0.29","rho01 = rho02","0%","0%","100% (n = 1200)",1200
"12",12,"0.20 to 0.29","rho01 > rho02","0%","0%","100% (n = 2400)",2400
"13",13,"0.30 to 0.39","rho01 < rho02","0%","0%","100% (n = 1800)",1800
"14",14,"0.30 to 0.39","rho01 = rho02","0%","0%","100% (n = 900)",900
"15",15,"0.30 to 0.39","rho01 > rho02","0%","0%","100% (n = 1800)",1800
"16",16,"0.40 to 0.49","rho01 < rho02","0%","0%","100% (n = 1800)",1800
"17",17,"0.40 to 0.49","rho01 = rho02","0%","0%","100% (n = 900)",900
"18",18,"0.40 to 0.49","rho01 > rho02","0%","0%","100% (n = 1800)",1800
