"","BetaCase","VarCase","RhoCase","method2","method2, method3","method2, method4_F","method3","method3, method4_F","method4_F","n"
"1","beta1 < beta2","varY1 < varY2","rho01 < rho02","36% (n = 1314)","0%","0%","53% (n = 1904)","0%","11% (n = 382)",3600
"2","beta1 < beta2","varY1 < varY2","rho01 = rho02","50% (n = 909)","0%","0% (n = 1)","43% (n = 776)","0%","6% (n = 114)",1800
"3","beta1 < beta2","varY1 < varY2","rho01 > rho02","64% (n = 2287)","0% (n = 7)","0%","15% (n = 524)","0%","22% (n = 782)",3600
"4","beta1 < beta2","varY1 = varY2","rho01 < rho02","65% (n = 1169)","0% (n = 5)","0% (n = 1)","15% (n = 276)","0%","19% (n = 349)",1800
"5","beta1 < beta2","varY1 = varY2","rho01 = rho02","0%","70% (n = 628)","0%","0%","0%","30% (n = 272)",900
"6","beta1 < beta2","varY1 = varY2","rho01 > rho02","0%","0%","0%","49% (n = 875)","0%","51% (n = 925)",1800
"7","beta1 < beta2","varY1 > varY2","rho01 < rho02","0%","0%","0%","46% (n = 1651)","0% (n = 1)","54% (n = 1948)",3600
"8","beta1 < beta2","varY1 > varY2","rho01 = rho02","0%","0%","0%","39% (n = 701)","0%","61% (n = 1099)",1800
"9","beta1 < beta2","varY1 > varY2","rho01 > rho02","0%","0%","0%","19% (n = 683)","0% (n = 4)","81% (n = 2913)",3600
"10","beta1 = beta2","varY1 < varY2","rho01 < rho02","0%","0%","0%","67% (n = 809)","0%","33% (n = 391)",1200
"11","beta1 = beta2","varY1 < varY2","rho01 = rho02","0%","0%","0%","96% (n = 574)","0%","4% (n = 26)",600
"12","beta1 = beta2","varY1 < varY2","rho01 > rho02","0%","1% (n = 8)","0%","96% (n = 1150)","0%","4% (n = 42)",1200
"13","beta1 = beta2","varY1 = varY2","rho01 < rho02","0%","0%","0%","95% (n = 571)","0%","5% (n = 29)",600
"14","beta1 = beta2","varY1 = varY2","rho01 = rho02","0%","100% (n = 300)","0%","0%","0%","0%",300
"15","beta1 = beta2","varY1 = varY2","rho01 > rho02","0%","0%","0%","95% (n = 571)","0%","5% (n = 29)",600
"16","beta1 = beta2","varY1 > varY2","rho01 < rho02","0%","1% (n = 8)","0%","96% (n = 1150)","0%","4% (n = 42)",1200
"17","beta1 = beta2","varY1 > varY2","rho01 = rho02","0%","0%","0%","96% (n = 574)","0%","4% (n = 26)",600
"18","beta1 = beta2","varY1 > varY2","rho01 > rho02","0%","0%","0%","67% (n = 809)","0%","33% (n = 391)",1200
