"","Parameter","Value","1. W1DF - CONJ is 0% to 5%","2. W1DF - CONJ is 5% to 10%","3. W1DF - CONJ is 10% to 20%","4. W1DF - CONJ is > 20%","n"
"1","K","10","0.4%","1.2%","8.7%","89.7%",7500
"2","K","4","0.5%","7.0%","34.4%","58.0%",7500
"3","K","6","0.2%","1.0%","11.9%","86.9%",7500
"4","K","8","0.3%","0.6%","7.2%","91.9%",7500
"5","RhoCase","rho01 < rho02","0.5%","3.6%","18.5%","77.4%",12000
"6","RhoCase","rho01 = rho02","0.0%","1.4%","15.0%","83.6%",6000
"7","RhoCase","rho01 > rho02","0.3%","1.9%","12.9%","84.9%",12000
"8","eff2minus1_group","-","0.6%","2.4%","16.6%","80.3%",6000
"9","eff2minus1_group","0","0.0%","2.5%","24.0%","73.5%",1500
"10","eff2minus1_group","0.05 to 0.19","0.9%","5.3%","21.6%","72.2%",7500
"11","eff2minus1_group","0.20 to 0.29","0.0%","1.7%","14.9%","83.4%",6000
"12","eff2minus1_group","0.30 to 0.39","0.0%","1.2%","11.6%","87.2%",4500
"13","eff2minus1_group","0.40 to 0.49","0.0%","0.0%","6.3%","93.7%",4500
"14","m","100","0.5%","2.5%","15.0%","82.0%",10000
"15","m","50","0.2%","2.4%","16.3%","81.0%",10000
"16","m","70","0.4%","2.4%","15.4%","81.8%",10000
"17","rho1","0.005","0.0%","0.0%","4.2%","95.8%",6000
"18","rho1","0.01","0.0%","0.0%","5.0%","95.0%",6000
"19","rho1","0.02","0.0%","0.1%","7.3%","92.6%",6000
"20","rho1","0.05","0.0%","1.8%","25.5%","72.7%",6000
"21","rho1","0.07","1.7%","10.3%","36.0%","51.9%",6000
"22","rho2","0.1","0.0%","1.7%","13.8%","84.5%",6000
"23","rho2","0.3","0.1%","2.1%","14.8%","83.0%",6000
"24","rho2","0.5","0.2%","2.6%","15.5%","81.7%",6000
"25","rho2","0.7","0.4%","2.9%","16.4%","80.2%",6000
"26","rho2","0.9","1.0%","2.9%","17.4%","78.6%",6000
