"","group_id","eff2minus1_group","RhoCase","method1_bonf","method1_bonf, method5_MVN","method5_MVN","n"
"1",1,"-","rho01 < rho02","4% (n = 151)","0% (n = 2)","96% (n = 3447)",3600
"2",2,"-","rho01 = rho02","24% (n = 423)","0%","76% (n = 1377)",1800
"3",3,"-","rho01 > rho02","24% (n = 879)","1% (n = 51)","74% (n = 2670)",3600
"4",4,"0","rho01 < rho02","20% (n = 178)","0%","80% (n = 722)",900
"5",5,"0","rho01 = rho02","77% (n = 347)","0%","23% (n = 103)",450
"6",6,"0","rho01 > rho02","20% (n = 178)","0%","80% (n = 722)",900
"7",7,"0.05 to 0.19","rho01 < rho02","40% (n = 1813)","1% (n = 55)","58% (n = 2632)",4500
"8",8,"0.05 to 0.19","rho01 = rho02","31% (n = 695)","0%","69% (n = 1555)",2250
"9",9,"0.05 to 0.19","rho01 > rho02","9% (n = 407)","0% (n = 3)","91% (n = 4090)",4500
"10",10,"0.20 to 0.29","rho01 < rho02","10% (n = 351)","0% (n = 3)","90% (n = 3246)",3600
"11",11,"0.20 to 0.29","rho01 = rho02","7% (n = 121)","0% (n = 2)","93% (n = 1677)",1800
"12",12,"0.20 to 0.29","rho01 > rho02","1% (n = 28)","0% (n = 2)","99% (n = 3570)",3600
"13",13,"0.30 to 0.39","rho01 < rho02","3% (n = 72)","0%","97% (n = 2628)",2700
"14",14,"0.30 to 0.39","rho01 = rho02","3% (n = 39)","0%","97% (n = 1311)",1350
"15",15,"0.30 to 0.39","rho01 > rho02","0% (n = 3)","0% (n = 1)","100% (n = 2696)",2700
"16",16,"0.40 to 0.49","rho01 < rho02","0%","0%","100% (n = 2700)",2700
"17",17,"0.40 to 0.49","rho01 = rho02","0%","0%","100% (n = 1350)",1350
"18",18,"0.40 to 0.49","rho01 > rho02","0%","0%","100% (n = 2700)",2700
