Parameter,Value,meanDiff,minDiff,maxDiff,n
K,4,1.3,-12.8,10.9,7500
K,6,3.3,-12.9,11.2,7500
K,8,4.8,-12.9,11.1,7500
K,10,5.7,-12.3,11.2,7500
K,20,6.1,-4.8,11.2,7500
K,30,5,-0.8,11.2,7500
m,50,4.3,-12.9,11.2,15000
m,70,4.4,-12.8,11.2,15000
m,100,4.5,-12.8,11.2,15000
eff2minus1_group,-,3.5,-12.4,11.2,9000
eff2minus1_group,0,0.9,-12.9,11.2,2250
eff2minus1_group,0.05 to 0.19,2.7,-12.9,11.2,11250
eff2minus1_group,0.20 to 0.29,6,-4.6,11.2,9000
eff2minus1_group,0.30 to 0.39,6.5,-1.2,11.2,6750
eff2minus1_group,0.40 to 0.49,5.2,0.9,11.2,6750
RhoCase,rho01 < rho02,4.2,-12.9,11.2,18000
RhoCase,rho01 = rho02,3.5,-12.9,11.1,9000
RhoCase,rho01 > rho02,5,-12.4,11.2,18000
rho1,0.005,3.1,-12.9,11.2,9000
rho1,0.01,3.3,-12.2,11.2,9000
rho1,0.02,3.8,-10.9,11.2,9000
rho1,0.05,5.3,-6.8,11.2,9000
rho1,0.07,6.3,-3.9,11.2,9000
rho2,0.1,4.1,-12.9,11.2,9000
rho2,0.3,4.2,-12.6,11.2,9000
rho2,0.5,4.4,-12.3,11.2,9000
rho2,0.7,4.5,-12,11.2,9000
rho2,0.9,4.7,-11.7,11.2,9000
