"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method3, method4_Chi2","method4_Chi2","n"
"1",25,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","4.33% (n = 13)","0%","95.67% (n = 287)",300
"2",5,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","46% (n = 138)","0.67% (n = 2)","53.33% (n = 160)",300
"3",45,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","72% (n = 216)","0.33% (n = 1)","27.67% (n = 83)",300
"4",65,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","81.67% (n = 245)","0%","18.33% (n = 55)",300
"5",85,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","84.67% (n = 254)","0.33% (n = 1)","15% (n = 45)",300
"6",21,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0%","44.33% (n = 133)","3.67% (n = 11)","52% (n = 156)",300
"7",1,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","66.67% (n = 200)","0%","33.33% (n = 100)",300
"8",41,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%",300
"9",61,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 300)","0%","0%",300
"10",81,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","9.33% (n = 28)","90.67% (n = 272)","0%","0%",300
"11",29,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","84.33% (n = 253)","0%","15.67% (n = 47)",300
"12",9,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","100% (n = 300)","0%","0%",300
