"","group_id","eff1eff2","eff2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method3, method4_Chi2","method4_Chi2","n"
"1",92,"(0.57, 0.33)",-0.24,"(0.1, 0.05)",-0.05,"0%","0%","85% (n = 254)","0% (n = 1)","15% (n = 45)",300
"2",91,"(0.57, 0.33)",-0.24,"(0.1, 0.07)",-0.03,"0%","0%","82% (n = 245)","0%","18% (n = 55)",300
"3",93,"(0.57, 0.33)",-0.24,"(0.1, 0.1)",0,"0%","0%","72% (n = 216)","0% (n = 1)","28% (n = 83)",300
"4",94,"(0.57, 0.33)",-0.24,"(0.07, 0.1)",0.03,"0%","0%","46% (n = 138)","1% (n = 2)","53% (n = 160)",300
"5",95,"(0.57, 0.33)",-0.24,"(0.05, 0.1)",0.05,"0%","0%","4% (n = 13)","0%","96% (n = 287)",300
"6",97,"(0.57, 0.4)",-0.17,"(0.1, 0.05)",-0.05,"0%","9% (n = 28)","91% (n = 272)","0%","0%",300
"7",96,"(0.57, 0.4)",-0.17,"(0.1, 0.07)",-0.03,"0%","0%","100% (n = 300)","0%","0%",300
"8",98,"(0.57, 0.4)",-0.17,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%",300
"9",99,"(0.57, 0.4)",-0.17,"(0.07, 0.1)",0.03,"0%","0%","67% (n = 200)","0%","33% (n = 100)",300
"10",100,"(0.57, 0.4)",-0.17,"(0.05, 0.1)",0.05,"0%","0%","44% (n = 133)","4% (n = 11)","52% (n = 156)",300
"11",82,"(0.42, 0.33)",-0.09,"(0.1, 0.05)",-0.05,"24% (n = 73)","2% (n = 6)","74% (n = 221)","0%","0%",300
"12",81,"(0.42, 0.33)",-0.09,"(0.1, 0.07)",-0.03,"0%","0%","100% (n = 300)","0%","0%",300
"13",83,"(0.42, 0.33)",-0.09,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%",300
"14",84,"(0.42, 0.33)",-0.09,"(0.07, 0.1)",0.03,"0%","0%","83% (n = 250)","0%","17% (n = 50)",300
"15",85,"(0.42, 0.33)",-0.09,"(0.05, 0.1)",0.05,"0%","0%","61% (n = 183)","0%","39% (n = 117)",300
"16",87,"(0.42, 0.4)",-0.02,"(0.1, 0.05)",-0.05,"89% (n = 268)","0%","0%","0%","11% (n = 32)",300
"17",86,"(0.42, 0.4)",-0.02,"(0.1, 0.07)",-0.03,"99% (n = 296)","0% (n = 1)","1% (n = 3)","0%","0%",300
"18",88,"(0.42, 0.4)",-0.02,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%",300
"19",89,"(0.42, 0.4)",-0.02,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 300)","0%","0%",300
"20",90,"(0.42, 0.4)",-0.02,"(0.05, 0.1)",0.05,"0%","0%","81% (n = 243)","0%","19% (n = 57)",300
"21",72,"(0.4, 0.4)",0,"(0.1, 0.05)",-0.05,"0%","0%","84% (n = 253)","0%","16% (n = 47)",300
"22",71,"(0.4, 0.4)",0,"(0.1, 0.07)",-0.03,"0%","0%","100% (n = 300)","0%","0%",300
"23",73,"(0.4, 0.4)",0,"(0.1, 0.1)",0,"0%","100% (n = 300)","0%","0%","0%",300
"24",74,"(0.4, 0.4)",0,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 300)","0%","0%",300
"25",75,"(0.4, 0.4)",0,"(0.05, 0.1)",0.05,"0%","0%","84% (n = 253)","0%","16% (n = 47)",300
"26",47,"(0.28, 0.33)",0.05,"(0.1, 0.05)",-0.05,"80% (n = 241)","0%","0%","0%","20% (n = 59)",300
"27",46,"(0.28, 0.33)",0.05,"(0.1, 0.07)",-0.03,"100% (n = 300)","0%","0%","0%","0%",300
"28",48,"(0.28, 0.33)",0.05,"(0.1, 0.1)",0,"41% (n = 124)","0%","59% (n = 176)","0%","0%",300
"29",49,"(0.28, 0.33)",0.05,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 300)","0%","0%",300
"30",50,"(0.28, 0.33)",0.05,"(0.05, 0.1)",0.05,"0%","0%","98% (n = 294)","0%","2% (n = 6)",300
"31",57,"(0.3, 0.4)",0.1,"(0.1, 0.05)",-0.05,"0%","0%","60% (n = 181)","0%","40% (n = 119)",300
"32",56,"(0.3, 0.4)",0.1,"(0.1, 0.07)",-0.03,"0%","0%","82% (n = 245)","0%","18% (n = 55)",300
"33",58,"(0.3, 0.4)",0.1,"(0.1, 0.1)",0,"0%","100% (n = 300)","0%","0%","0%",300
"34",59,"(0.3, 0.4)",0.1,"(0.07, 0.1)",0.03,"100% (n = 300)","0%","0%","0%","0%",300
"35",60,"(0.3, 0.4)",0.1,"(0.05, 0.1)",0.05,"7% (n = 20)","1% (n = 3)","92% (n = 277)","0%","0%",300
"36",52,"(0.28, 0.4)",0.12,"(0.1, 0.05)",-0.05,"60% (n = 181)","0%","0%","0%","40% (n = 119)",300
"37",51,"(0.28, 0.4)",0.12,"(0.1, 0.07)",-0.03,"81% (n = 243)","0%","0%","0%","19% (n = 57)",300
"38",53,"(0.28, 0.4)",0.12,"(0.1, 0.1)",0,"100% (n = 300)","0%","0%","0%","0%",300
"39",54,"(0.28, 0.4)",0.12,"(0.07, 0.1)",0.03,"89% (n = 268)","0%","11% (n = 32)","0%","0%",300
"40",55,"(0.28, 0.4)",0.12,"(0.05, 0.1)",0.05,"28% (n = 84)","0%","72% (n = 216)","0%","0%",300
"41",77,"(0.4, 0.57)",0.17,"(0.1, 0.05)",-0.05,"0%","0%","44% (n = 133)","4% (n = 11)","52% (n = 156)",300
"42",76,"(0.4, 0.57)",0.17,"(0.1, 0.07)",-0.03,"0%","0%","67% (n = 200)","0%","33% (n = 100)",300
