"","group_id","eff2minus1_group","RhoCase","method3","method3, method5_MVN","n"
"1",1,"-","rho01 < rho02","100% (n = 3600)","0%",3600
"2",2,"-","rho01 = rho02","100% (n = 1800)","0%",1800
"3",3,"-","rho01 > rho02","98% (n = 3525)","2% (n = 75)",3600
"4",4,"0","rho01 < rho02","100% (n = 900)","0%",900
"5",5,"0","rho01 = rho02","100% (n = 450)","0%",450
"6",6,"0","rho01 > rho02","100% (n = 900)","0%",900
"7",7,"0.05 to 0.19","rho01 < rho02","98% (n = 4425)","2% (n = 75)",4500
"8",8,"0.05 to 0.19","rho01 = rho02","100% (n = 2250)","0%",2250
"9",9,"0.05 to 0.19","rho01 > rho02","100% (n = 4500)","0%",4500
"10",10,"0.20 to 0.29","rho01 < rho02","100% (n = 3600)","0%",3600
"11",11,"0.20 to 0.29","rho01 = rho02","100% (n = 1800)","0%",1800
"12",12,"0.20 to 0.29","rho01 > rho02","100% (n = 3600)","0%",3600
"13",13,"0.30 to 0.39","rho01 < rho02","100% (n = 2700)","0%",2700
"14",14,"0.30 to 0.39","rho01 = rho02","100% (n = 1350)","0%",1350
"15",15,"0.30 to 0.39","rho01 > rho02","100% (n = 2700)","0%",2700
"16",16,"0.40 to 0.49","rho01 < rho02","100% (n = 2700)","0%",2700
"17",17,"0.40 to 0.49","rho01 = rho02","100% (n = 1350)","0%",1350
"18",18,"0.40 to 0.49","rho01 > rho02","100% (n = 2700)","0%",2700
