,Parameter,Value,1. W1DF - CONJ is 0% to 5%,2. W1DF - CONJ is 5% to 10%,3. W1DF - CONJ is 10% to 20%,4. W1DF - CONJ is > 20%,n
1,K,4,0%,1%,13%,86%,7500
2,K,6,0%,1%,7%,92%,7500
3,K,8,0%,1%,7%,92%,7500
4,K,10,1%,2%,10%,87%,7500
5,K,20,24%,7%,19%,51%,7500
6,K,30,43%,11%,7%,39%,7500
7,m,100,12%,4%,11%,74%,15000
8,m,50,11%,3%,10%,76%,15000
9,m,70,11%,4%,11%,74%,15000
10,eff2minus1_group,-,27%,3%,14%,55%,9000
11,eff2minus1_group,0,30%,4%,15%,52%,2250
12,eff2minus1_group,0.05 to 0.19,11%,8%,15%,65%,11250
13,eff2minus1_group,0.20 to 0.29,8%,4%,10%,78%,9000
14,eff2minus1_group,0.30 to 0.39,1%,1%,7%,91%,6750
15,eff2minus1_group,0.40 to 0.49,0%,0%,0%,100%,6750
16,RhoCase,rho01 < rho02,14%,3%,13%,70%,18000
17,RhoCase,rho01 = rho02,8%,4%,9%,79%,9000
18,RhoCase,rho01 > rho02,10%,4%,9%,76%,18000
19,rho1,0.005,11%,3%,5%,81%,9000
20,rho1,0.01,11%,3%,5%,81%,9000
21,rho1,0.02,11%,3%,5%,81%,9000
22,rho1,0.05,12%,3%,12%,73%,9000
23,rho1,0.07,13%,6%,25%,57%,9000
24,rho2,0.1,11%,3%,9%,76%,9000
25,rho2,0.3,11%,4%,10%,75%,9000
26,rho2,0.5,11%,4%,11%,74%,9000
27,rho2,0.7,11%,4%,11%,74%,9000
28,rho2,0.9,12%,4%,12%,73%,9000
