"","group_id","eff2minus1_group","RhoCase","method3","n"
"1",1,"-","rho01 < rho02","100% (n = 2400)",2400
"2",2,"-","rho01 = rho02","100% (n = 1200)",1200
"3",3,"-","rho01 > rho02","100% (n = 2400)",2400
"4",4,"0","rho01 < rho02","100% (n = 600)",600
"5",5,"0","rho01 = rho02","100% (n = 300)",300
"6",6,"0","rho01 > rho02","100% (n = 600)",600
"7",7,"0.05 to 0.19","rho01 < rho02","100% (n = 3000)",3000
"8",8,"0.05 to 0.19","rho01 = rho02","100% (n = 1500)",1500
"9",9,"0.05 to 0.19","rho01 > rho02","100% (n = 3000)",3000
"10",10,"0.20 to 0.29","rho01 < rho02","100% (n = 2400)",2400
"11",11,"0.20 to 0.29","rho01 = rho02","100% (n = 1200)",1200
"12",12,"0.20 to 0.29","rho01 > rho02","100% (n = 2400)",2400
"13",13,"0.30 to 0.39","rho01 < rho02","100% (n = 1800)",1800
"14",14,"0.30 to 0.39","rho01 = rho02","100% (n = 900)",900
"15",15,"0.30 to 0.39","rho01 > rho02","100% (n = 1800)",1800
"16",16,"0.40 to 0.49","rho01 < rho02","100% (n = 1800)",1800
"17",17,"0.40 to 0.49","rho01 = rho02","100% (n = 900)",900
"18",18,"0.40 to 0.49","rho01 > rho02","100% (n = 1800)",1800
