,BetaCase,VarCase,RhoCase,method2,"method2, method3",method3,method4,method5,n
1,beta1 < beta2,varY1 < varY2,rho01 < rho02,33%,3%,48%,16%,5%,5400
2,beta1 < beta2,varY1 < varY2,rho01 = rho02,50%,2%,41%,9%,1%,2700
3,beta1 < beta2,varY1 < varY2,rho01 > rho02,51%,7%,15%,29%,4%,5400
4,beta1 < beta2,varY1 = varY2,rho01 < rho02,55%,4%,11%,26%,5%,2700
5,beta1 < beta2,varY1 = varY2,rho01 = rho02,0%,64%,0%,36%,0%,1350
6,beta1 < beta2,varY1 = varY2,rho01 > rho02,0%,1%,39%,61%,0%,2700
7,beta1 < beta2,varY1 > varY2,rho01 < rho02,0%,4%,39%,66%,0%,5400
8,beta1 < beta2,varY1 > varY2,rho01 = rho02,0%,1%,31%,72%,0%,2700
9,beta1 < beta2,varY1 > varY2,rho01 > rho02,0%,2%,24%,87%,0%,5400
10,beta1 = beta2,varY1 < varY2,rho01 < rho02,0%,16%,71%,55%,0%,1800
11,beta1 = beta2,varY1 < varY2,rho01 = rho02,0%,12%,91%,23%,0%,900
12,beta1 = beta2,varY1 < varY2,rho01 > rho02,0%,22%,83%,23%,12%,1800
13,beta1 = beta2,varY1 = varY2,rho01 < rho02,0%,14%,84%,15%,5%,900
14,beta1 = beta2,varY1 = varY2,rho01 = rho02,0%,98%,0%,0%,2%,450
15,beta1 = beta2,varY1 = varY2,rho01 > rho02,0%,14%,84%,15%,5%,900
16,beta1 = beta2,varY1 > varY2,rho01 < rho02,0%,22%,83%,23%,12%,1800
17,beta1 = beta2,varY1 > varY2,rho01 = rho02,0%,12%,91%,23%,0%,900
18,beta1 = beta2,varY1 > varY2,rho01 > rho02,0%,16%,71%,55%,0%,1800
