"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method2, method4_F","method2, method5_T","method3","method3, method4_F","method4_F","method4_F, method5_T","method5_T","n"
"1",25,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","52% (n = 156)","0%","48% (n = 144)","0%","0%",300
"2",5,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","67% (n = 202)","0%","33% (n = 98)","0%","0%",300
"3",45,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","0%","0%","91% (n = 274)","0%","9% (n = 26)","0%","0%",300
"4",65,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","92% (n = 275)","0%","6% (n = 18)","0%","2% (n = 7)",300
"5",85,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","85% (n = 255)","0%","6% (n = 19)","0%","9% (n = 26)",300
"6",21,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","66% (n = 198)","0%","34% (n = 102)","0%","0%",300
"7",1,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","84% (n = 253)","0%","16% (n = 47)","0%","0%",300
"8",41,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)","0%","0%","0%","0%",300
"9",61,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","93% (n = 280)","0%","0%","0%","7% (n = 20)",300
"10",81,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","3% (n = 8)","0%","0%","75% (n = 224)","0%","0%","0%","23% (n = 68)",300
"11",29,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","85% (n = 254)","0%","9% (n = 27)","0%","6% (n = 19)",300
"12",9,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","90% (n = 271)","0%","0%","0%","10% (n = 29)",300
"13",49,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.1)",0,"0%","97% (n = 290)","0%","0%","0%","0%","0%","0%","3% (n = 10)",300
"14",69,"(0.4, 0.4)",0,"(1, 1)",0,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","90% (n = 271)","0%","0%","0%","10% (n = 29)",300
"15",89,"(0.4, 0.4)",0,"(1, 1)",0,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","85% (n = 254)","0%","9% (n = 27)","0%","6% (n = 19)",300
"16",33,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"0%","3% (n = 8)","0%","0%","75% (n = 224)","0%","0%","0%","23% (n = 68)",300
"17",13,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","93% (n = 280)","0%","0%","0%","7% (n = 20)",300
"18",53,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)","0%","0%","0%","0%",300
"19",73,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","84% (n = 253)","0%","16% (n = 47)","0%","0%",300
"20",93,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","66% (n = 198)","0%","34% (n = 102)","0%","0%",300
"21",37,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","85% (n = 255)","0%","6% (n = 19)","0%","9% (n = 26)",300
"22",17,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","92% (n = 275)","0%","6% (n = 18)","0%","2% (n = 7)",300
"23",57,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"0%","0%","0%","0%","91% (n = 274)","0%","9% (n = 26)","0%","0%",300
"24",77,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","67% (n = 202)","0%","33% (n = 98)","0%","0%",300
"25",97,"(0.4, 0.4)",0,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","52% (n = 156)","0%","48% (n = 144)","0%","0%",300
