"","group_id","eff2minus1_group","RhoCase","method3","method3, method5_T","method5_T","n"
"1",1,"-","rho01 < rho02","98% (n = 2350)","0%","2% (n = 50)",2400
"2",2,"-","rho01 = rho02","99% (n = 1184)","0%","1% (n = 16)",1200
"3",3,"-","rho01 > rho02","87% (n = 2085)","0% (n = 2)","13% (n = 313)",2400
"4",4,"0","rho01 < rho02","90% (n = 543)","0%","10% (n = 57)",600
"5",5,"0","rho01 = rho02","97% (n = 290)","0%","3% (n = 10)",300
"6",6,"0","rho01 > rho02","90% (n = 543)","0%","10% (n = 57)",600
"7",7,"0.05 to 0.19","rho01 < rho02","86% (n = 2586)","0% (n = 1)","14% (n = 413)",3000
"8",8,"0.05 to 0.19","rho01 = rho02","99% (n = 1489)","0%","1% (n = 11)",1500
"9",9,"0.05 to 0.19","rho01 > rho02","98% (n = 2948)","0% (n = 1)","2% (n = 51)",3000
"10",10,"0.20 to 0.29","rho01 < rho02","96% (n = 2313)","0%","4% (n = 87)",2400
"11",11,"0.20 to 0.29","rho01 = rho02","100% (n = 1200)","0%","0%",1200
"12",12,"0.20 to 0.29","rho01 > rho02","100% (n = 2400)","0%","0%",2400
"13",13,"0.30 to 0.39","rho01 < rho02","100% (n = 1797)","0%","0% (n = 3)",1800
"14",14,"0.30 to 0.39","rho01 = rho02","100% (n = 900)","0%","0%",900
"15",15,"0.30 to 0.39","rho01 > rho02","100% (n = 1800)","0%","0%",1800
"16",16,"0.40 to 0.49","rho01 < rho02","100% (n = 1800)","0%","0%",1800
"17",17,"0.40 to 0.49","rho01 = rho02","100% (n = 900)","0%","0%",900
"18",18,"0.40 to 0.49","rho01 > rho02","100% (n = 1800)","0%","0%",1800
