"","Parameter","Value","meanDiff","minDiff","maxDiff","varDiff","n"
"1","K","10",18.2,5.6,26.3,31.3,7500
"2","K","4",12.5,2.6,31.6,33.9,7500
"3","K","6",16.1,3.4,29.2,44.2,7500
"4","K","8",17.8,4.4,27.2,38.9,7500
"5","RhoCase","rho01 < rho02",16.8,2.9,31.6,42.7,12000
"6","RhoCase","rho01 = rho02",14.4,2.6,27.3,40,6000
"7","RhoCase","rho01 > rho02",16.4,3.6,31.6,40.5,12000
"8","eff2minus1_group","-",20.3,7.6,31.6,24.3,6000
"9","eff2minus1_group","0",18.1,6.5,28.6,25.2,1500
"10","eff2minus1_group","0.05 to 0.19",15.5,2.6,31.6,41.2,7500
"11","eff2minus1_group","0.20 to 0.29",17.6,3.9,29.2,40.8,6000
"12","eff2minus1_group","0.30 to 0.39",15.1,3,26.8,39.1,4500
"13","eff2minus1_group","0.40 to 0.49",10.3,4.3,22.1,13.9,4500
"14","m","100",16.5,2.9,31.6,42.3,10000
"15","m","50",15.8,2.6,30,41.6,10000
"16","m","70",16.2,2.7,30.9,42,10000
"17","rho1","0.005",14.6,2.6,28,40.4,6000
"18","rho1","0.01",14.9,2.9,28.1,39.7,6000
"19","rho1","0.02",15.5,3.4,28.2,38.7,6000
"20","rho1","0.05",17.3,4.9,28.6,38.3,6000
"21","rho1","0.07",18.6,5.6,31.6,41.4,6000
"22","rho2","0.1",15.8,2.6,28.6,42.1,6000
"23","rho2","0.3",16,2.8,29.1,42,6000
"24","rho2","0.5",16.2,3,29.8,41.9,6000
"25","rho2","0.7",16.3,3.2,30.6,41.9,6000
"26","rho2","0.9",16.5,3.3,31.6,42,6000
