"","Parameter","Value","0. CONJ better %","1. W1DF - CONJ is 0% to 5%","2. W1DF - CONJ is 5% to 10%","3. W1DF - CONJ is 10% to 20%","4. W1DF - CONJ is > 20%","n"
"1","K","10","1.4%","4.9%","6.9%","22.7%","64.1%",7500
"2","K","4","7.6%","12.2%","12.3%","43.2%","24.7%",7500
"3","K","6","3.4%","4.8%","8.1%","17.6%","66.2%",7500
"4","K","8","1.8%","4.4%","6.0%","16.6%","71.2%",7500
"5","RhoCase","rho01 < rho02","5.1%","8.3%","9.6%","26.5%","50.5%",12000
"6","RhoCase","rho01 = rho02","0.6%","5.2%","8.8%","26.3%","59.1%",6000
"7","RhoCase","rho01 > rho02","3.5%","5.6%","6.9%","22.9%","61.2%",12000
"8","eff2minus1_group","-","6.3%","9.5%","10.6%","31.8%","41.9%",6000
"9","eff2minus1_group","0","8.3%","15.7%","12.5%","30.9%","32.7%",1500
"10","eff2minus1_group","0.05 to 0.19","6.3%","10.6%","12.0%","30.7%","40.3%",7500
"11","eff2minus1_group","0.20 to 0.29","1.4%","4.9%","8.1%","24.5%","61.0%",6000
"12","eff2minus1_group","0.30 to 0.39","0.1%","1.8%","5.1%","18.4%","74.7%",4500
"13","eff2minus1_group","0.40 to 0.49","0.0%","0.0%","1.3%","11.8%","86.9%",4500
"14","m","100","3.8%","6.7%","8.0%","23.7%","57.8%",10000
"15","m","50","3.4%","6.4%","8.7%","26.3%","55.1%",10000
"16","m","70","3.5%","6.5%","8.3%","25.0%","56.7%",10000
"17","rho1","0.005","0.0%","0.2%","0.7%","17.5%","81.7%",6000
"18","rho1","0.01","0.0%","0.2%","1.2%","21.9%","76.8%",6000
"19","rho1","0.02","0.0%","0.3%","3.9%","31.9%","63.9%",6000
"20","rho1","0.05","1.2%","12.3%","20.7%","31.4%","34.4%",6000
"21","rho1","0.07","16.5%","20.0%","15.2%","22.4%","25.9%",6000
"22","rho2","0.1","2.1%","5.7%","7.5%","22.8%","61.9%",6000
"23","rho2","0.3","2.6%","6.3%","7.7%","24.1%","59.2%",6000
"24","rho2","0.5","3.4%","6.7%","8.5%","25.0%","56.5%",6000
"25","rho2","0.7","4.3%","7.1%","8.8%","26.0%","53.8%",6000
"26","rho2","0.9","5.3%","7.1%","9.3%","27.1%","51.3%",6000
