"","BetaCase","VarCase","RhoCase","method2","method2, method3","method2, method4_F","method2, method5_T","method3","method3, method4_F","method4_F","method5_T","n"
"1","beta1 < beta2","varY1 < varY2","rho01 < rho02","34.28% (n = 1234)","0%","0%","0%","48.72% (n = 1754)","0%","10.5% (n = 378)","6.5% (n = 234)",3600
"2","beta1 < beta2","varY1 < varY2","rho01 = rho02","50.22% (n = 904)","0%","0.06% (n = 1)","0.06% (n = 1)","42.22% (n = 760)","0%","6.33% (n = 114)","1.11% (n = 20)",1800
"3","beta1 < beta2","varY1 < varY2","rho01 > rho02","59.83% (n = 2154)","0.08% (n = 3)","0%","0.03% (n = 1)","13.17% (n = 474)","0%","21.5% (n = 774)","5.39% (n = 194)",3600
"4","beta1 < beta2","varY1 = varY2","rho01 < rho02","61.78% (n = 1112)","0.17% (n = 3)","0.06% (n = 1)","0%","12.72% (n = 229)","0%","19.22% (n = 346)","6.06% (n = 109)",1800
"5","beta1 < beta2","varY1 = varY2","rho01 = rho02","0%","69.44% (n = 625)","0%","0%","0%","0%","30.22% (n = 272)","0.33% (n = 3)",900
"6","beta1 < beta2","varY1 = varY2","rho01 > rho02","0%","0%","0%","0%","48.17% (n = 867)","0%","51.39% (n = 925)","0.44% (n = 8)",1800
"7","beta1 < beta2","varY1 > varY2","rho01 < rho02","0%","0%","0%","0%","45.64% (n = 1643)","0.03% (n = 1)","54.03% (n = 1945)","0.31% (n = 11)",3600
"8","beta1 < beta2","varY1 > varY2","rho01 = rho02","0%","0%","0%","0%","38.94% (n = 701)","0%","61.06% (n = 1099)","0%",1800
"9","beta1 < beta2","varY1 > varY2","rho01 > rho02","0%","0%","0%","0%","18.97% (n = 683)","0.11% (n = 4)","80.92% (n = 2913)","0%",3600
"10","beta1 = beta2","varY1 < varY2","rho01 < rho02","0%","0%","0%","0%","67.42% (n = 809)","0%","32.58% (n = 391)","0%",1200
"11","beta1 = beta2","varY1 < varY2","rho01 = rho02","0%","0%","0%","0%","95.67% (n = 574)","0%","4.33% (n = 26)","0%",600
"12","beta1 = beta2","varY1 < varY2","rho01 > rho02","0%","0.67% (n = 8)","0%","0%","86.17% (n = 1034)","0%","3.08% (n = 37)","10.08% (n = 121)",1200
"13","beta1 = beta2","varY1 = varY2","rho01 < rho02","0%","0%","0%","0%","87.5% (n = 525)","0%","4.5% (n = 27)","8% (n = 48)",600
"14","beta1 = beta2","varY1 = varY2","rho01 = rho02","0%","96.67% (n = 290)","0%","0%","0%","0%","0%","3.33% (n = 10)",300
"15","beta1 = beta2","varY1 = varY2","rho01 > rho02","0%","0%","0%","0%","87.5% (n = 525)","0%","4.5% (n = 27)","8% (n = 48)",600
"16","beta1 = beta2","varY1 > varY2","rho01 < rho02","0%","0.67% (n = 8)","0%","0%","86.17% (n = 1034)","0%","3.08% (n = 37)","10.08% (n = 121)",1200
"17","beta1 = beta2","varY1 > varY2","rho01 = rho02","0%","0%","0%","0%","95.67% (n = 574)","0%","4.33% (n = 26)","0%",600
"18","beta1 = beta2","varY1 > varY2","rho01 > rho02","0%","0%","0%","0%","67.42% (n = 809)","0%","32.58% (n = 391)","0%",1200
