"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method3, method4_Chi2","method4_Chi2","method5_MVN","n"
"1",25,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","4% (n = 13)","0%","96% (n = 287)","0%",300
"2",5,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","46% (n = 138)","1% (n = 2)","53% (n = 160)","0%",300
"3",45,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","72% (n = 216)","0% (n = 1)","28% (n = 83)","0%",300
"4",65,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","82% (n = 245)","0%","18% (n = 55)","0%",300
"5",85,"(0.4, 0.4)",0,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","85% (n = 254)","0% (n = 1)","15% (n = 45)","0%",300
"6",21,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0%","44% (n = 133)","4% (n = 11)","52% (n = 156)","0%",300
"7",1,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","67% (n = 200)","0%","33% (n = 100)","0%",300
"8",41,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%","0%",300
"9",61,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 300)","0%","0%","0%",300
"10",81,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","9% (n = 28)","75% (n = 226)","0%","0%","15% (n = 46)",300
"11",29,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","84% (n = 253)","0%","16% (n = 47)","0%",300
"12",9,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","100% (n = 300)","0%","0%","0%",300
"13",49,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.1)",0,"0%","100% (n = 300)","0%","0%","0%","0%",300
"14",69,"(0.4, 0.4)",0,"(1, 1)",0,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 300)","0%","0%","0%",300
"15",89,"(0.4, 0.4)",0,"(1, 1)",0,"(0.05, 0.1)",0.05,"0%","0%","84% (n = 253)","0%","16% (n = 47)","0%",300
"16",33,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"0%","9% (n = 28)","75% (n = 226)","0%","0%","15% (n = 46)",300
