"","group_id","eff2minus1_group","RhoCase","method3","method3, method5_MVN","method5_MVN","n"
"1",1,"-","rho01 < rho02","100% (n = 3600)","0%","0%",3600
"2",2,"-","rho01 = rho02","100% (n = 1800)","0%","0%",1800
"3",3,"-","rho01 > rho02","94% (n = 3377)","2% (n = 82)","4% (n = 141)",3600
"4",4,"0","rho01 < rho02","100% (n = 898)","0%","0% (n = 2)",900
"5",5,"0","rho01 = rho02","100% (n = 450)","0%","0%",450
"6",6,"0","rho01 > rho02","100% (n = 898)","0%","0% (n = 2)",900
"7",7,"0.05 to 0.19","rho01 < rho02","92% (n = 4155)","2% (n = 82)","6% (n = 263)",4500
"8",8,"0.05 to 0.19","rho01 = rho02","100% (n = 2250)","0%","0%",2250
"9",9,"0.05 to 0.19","rho01 > rho02","100% (n = 4499)","0%","0% (n = 1)",4500
"10",10,"0.20 to 0.29","rho01 < rho02","100% (n = 3592)","0%","0% (n = 8)",3600
"11",11,"0.20 to 0.29","rho01 = rho02","100% (n = 1800)","0%","0%",1800
"12",12,"0.20 to 0.29","rho01 > rho02","100% (n = 3600)","0%","0%",3600
"13",13,"0.30 to 0.39","rho01 < rho02","100% (n = 2700)","0%","0%",2700
"14",14,"0.30 to 0.39","rho01 = rho02","100% (n = 1350)","0%","0%",1350
"15",15,"0.30 to 0.39","rho01 > rho02","100% (n = 2700)","0%","0%",2700
"16",16,"0.40 to 0.49","rho01 < rho02","100% (n = 2700)","0%","0%",2700
"17",17,"0.40 to 0.49","rho01 = rho02","100% (n = 1350)","0%","0%",1350
"18",18,"0.40 to 0.49","rho01 > rho02","100% (n = 2700)","0%","0%",2700
