Parameter,Value,0. CONJ better %,1. W1DF - CONJ is 0% to 5%,2. W1DF - CONJ is 5% to 10%,3. W1DF - CONJ is 10% to 20%,4. W1DF - CONJ is > 20%,n
K,4,2%,4%,8%,18%,69%,7500
K,6,1%,3%,5%,16%,76%,7500
K,8,1%,3%,6%,16%,74%,7500
K,10,1%,5%,7%,22%,65%,7500
K,20,1%,30%,14%,14%,41%,7500
K,30,0%,53%,6%,6%,35%,7500
m,50,1%,16%,8%,16%,60%,15000
m,70,1%,16%,8%,15%,60%,15000
m,100,1%,17%,7%,15%,60%,15000
eff2minus1_group,-,2%,33%,12%,19%,35%,9000
eff2minus1_group,0,0%,42%,9%,19%,30%,2250
eff2minus1_group,0.05 to 0.19,2%,20%,11%,22%,44%,11250
eff2minus1_group,0.20 to 0.29,0%,13%,7%,15%,66%,9000
eff2minus1_group,0.30 to 0.39,0%,2%,4%,13%,82%,6750
eff2minus1_group,0.40 to 0.49,0%,0%,0%,2%,98%,6750
RhoCase,rho01 < rho02,2%,19%,10%,16%,54%,18000
RhoCase,rho01 = rho02,0%,12%,7%,16%,64%,9000
RhoCase,rho01 > rho02,1%,16%,6%,14%,64%,18000
rho1,0.005,0%,14%,4%,8%,74%,9000
rho1,0.01,0%,14%,4%,9%,73%,9000
rho1,0.02,0%,14%,4%,12%,70%,9000
rho1,0.05,0%,16%,11%,28%,45%,9000
rho1,0.07,5%,25%,14%,20%,37%,9000
rho2,0.1,0%,16%,7%,15%,62%,9000
rho2,0.3,1%,16%,7%,15%,61%,9000
rho2,0.5,1%,16%,7%,15%,60%,9000
rho2,0.7,1%,17%,8%,15%,59%,9000
rho2,0.9,2%,17%,8%,16%,57%,9000
