"","group_id","eff1eff2","eff2minus1","rho01rho02","rho02minus01","method2 = method3","method3 = method4_Chi2","method2","method3","method4_Chi2","n"
"1",25,"(0.57, 0.4)",-0.17,"(0.1, 0.05)",-0.05,"9.38% (n = 9)","0% (n = 0)","0% (n = 0)","90.62% (n = 87)","0% (n = 0)",96
"2",26,"(0.57, 0.4)",-0.17,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"3",27,"(0.57, 0.4)",-0.17,"(0.05, 0.1)",0.05,"0% (n = 0)","3.12% (n = 3)","0% (n = 0)","57.29% (n = 55)","39.58% (n = 38)",96
"4",19,"(0.4, 0.4)",0,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"5",20,"(0.4, 0.4)",0,"(0.1, 0.1)",0,"100% (n = 96)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)",96
"6",21,"(0.4, 0.4)",0,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"7",16,"(0.35, 0.4)",0.05,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","98.96% (n = 95)","0% (n = 0)","1.04% (n = 1)",96
"8",17,"(0.35, 0.4)",0.05,"(0.1, 0.1)",0,"3.12% (n = 3)","0% (n = 0)","59.38% (n = 57)","37.5% (n = 36)","0% (n = 0)",96
"9",18,"(0.35, 0.4)",0.05,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"10",10,"(0.25, 0.4)",0.15,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","57.29% (n = 55)","42.71% (n = 41)",96
"11",11,"(0.25, 0.4)",0.15,"(0.1, 0.1)",0,"100% (n = 96)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)",96
"12",12,"(0.25, 0.4)",0.15,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)","0% (n = 0)",96
"13",22,"(0.4, 0.57)",0.17,"(0.1, 0.05)",-0.05,"0% (n = 0)","3.12% (n = 3)","0% (n = 0)","57.29% (n = 55)","39.58% (n = 38)",96
"14",23,"(0.4, 0.57)",0.17,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"15",24,"(0.4, 0.57)",0.17,"(0.05, 0.1)",0.05,"9.38% (n = 9)","0% (n = 0)","0% (n = 0)","90.62% (n = 87)","0% (n = 0)",96
"16",7,"(0.14, 0.4)",0.26,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"17",8,"(0.14, 0.4)",0.26,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","75% (n = 72)","0% (n = 0)","25% (n = 24)",96
"18",9,"(0.14, 0.4)",0.26,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","81.25% (n = 78)","0% (n = 0)","18.75% (n = 18)",96
"19",1,"(0.1, 0.4)",0.3,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"20",2,"(0.1, 0.4)",0.3,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"21",3,"(0.1, 0.4)",0.3,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","59.38% (n = 57)","0% (n = 0)","40.62% (n = 39)",96
"22",13,"(0.25, 0.57)",0.32,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"23",14,"(0.25, 0.57)",0.32,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","42.71% (n = 41)","57.29% (n = 55)",96
"24",15,"(0.25, 0.57)",0.32,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","75% (n = 72)","25% (n = 24)",96
"25",4,"(0.1, 0.57)",0.47,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"26",5,"(0.1, 0.57)",0.47,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"27",6,"(0.1, 0.57)",0.47,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
