"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2 = method3","method3 = method4_Chi2","method2","method3","method4_Chi2","n"
"1",1,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","3.12% (n = 3)","0% (n = 0)","57.29% (n = 55)","39.58% (n = 38)",96
"2",10,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"3",19,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"9.38% (n = 9)","0% (n = 0)","0% (n = 0)","90.62% (n = 87)","0% (n = 0)",96
"4",4,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"5",13,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.1)",0,"100% (n = 96)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)",96
"6",22,"(0.4, 0.4)",0,"(1, 1)",0,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"7",7,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"9.38% (n = 9)","0% (n = 0)","0% (n = 0)","90.62% (n = 87)","0% (n = 0)",96
"8",16,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"9",25,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","3.12% (n = 3)","0% (n = 0)","57.29% (n = 55)","39.58% (n = 38)",96
"10",2,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"11",11,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","42.71% (n = 41)","57.29% (n = 55)",96
"12",20,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","75% (n = 72)","25% (n = 24)",96
"13",5,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","57.29% (n = 55)","42.71% (n = 41)",96
"14",14,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.1, 0.1)",0,"100% (n = 96)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)",96
"15",23,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)","0% (n = 0)",96
"16",8,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","98.96% (n = 95)","0% (n = 0)","1.04% (n = 1)",96
"17",17,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"3.12% (n = 3)","0% (n = 0)","59.38% (n = 57)","37.5% (n = 36)","0% (n = 0)",96
"18",26,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"19",3,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"20",12,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"21",21,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"22",6,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"23",15,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"24",24,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","59.38% (n = 57)","0% (n = 0)","40.62% (n = 39)",96
"25",9,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)",96
"26",18,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","75% (n = 72)","0% (n = 0)","25% (n = 24)",96
"27",27,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","81.25% (n = 78)","0% (n = 0)","18.75% (n = 18)",96
