,group_id,eff2minus1_group,rho02minus01_group,method2,method2..method3,method3,method4,n
1,1,-,rho01 < rho02,0%,10%,78%,39%,3600
2,2,-,rho01 = rho02,0%,8%,94%,12%,1800
3,3,-,rho01 > rho02,21%,21%,67%,16%,3600
4,4,0,rho01 < rho02,0%,14%,89%,15%,900
5,5,0,rho01 = rho02,0%,100%,0%,0%,450
6,6,0,rho01 > rho02,0%,14%,89%,15%,900
7,7,0.05 to 0.19,rho01 < rho02,38%,10%,54%,8%,4500
8,8,0.05 to 0.19,rho01 = rho02,45%,23%,31%,7%,2250
9,9,0.05 to 0.19,rho01 > rho02,43%,6%,31%,33%,4500
10,10,0.20 to 0.29,rho01 < rho02,38%,8%,41%,26%,3600
11,11,0.20 to 0.29,rho01 = rho02,16%,23%,40%,30%,1800
12,12,0.20 to 0.29,rho01 > rho02,6%,5%,40%,65%,3600
13,13,0.30 to 0.39,rho01 < rho02,14%,3%,38%,54%,2700
14,14,0.30 to 0.39,rho01 = rho02,0%,5%,29%,69%,1350
15,15,0.30 to 0.39,rho01 > rho02,0%,0%,22%,87%,2700
16,16,0.40 to 0.49,rho01 < rho02,0%,0%,13%,87%,2700
17,17,0.40 to 0.49,rho01 = rho02,0%,0%,8%,92%,1350
18,18,0.40 to 0.49,rho01 > rho02,0%,0%,8%,97%,2700
