"","group_id","eff2minus1_group","rho02minus01_group","method2","method2..method3","method3","method3..method4_Chi2","method4_Chi2","method5_MVN","n"
"1",1,"-","rho01 < rho02","0%","0%","61% (n = 1460)","1% (n = 13)","39% (n = 927)","0%",2400
"2",2,"-","rho01 = rho02","0%","0%","93% (n = 1116)","0% (n = 1)","7% (n = 83)","0%",1200
"3",3,"-","rho01 > rho02","25% (n = 594)","1% (n = 32)","64% (n = 1542)","0% (n = 1)","6% (n = 132)","4% (n = 99)",2400
"4",4,"0","rho01 < rho02","0%","0%","92% (n = 553)","0%","8% (n = 47)","0%",600
"5",5,"0","rho01 = rho02","0%","100% (n = 300)","0%","0%","0%","0%",300
"6",6,"0","rho01 > rho02","0%","0%","92% (n = 553)","0%","8% (n = 47)","0%",600
"7",7,"0.05 to 0.19","rho01 < rho02","36% (n = 1095)","1% (n = 30)","52% (n = 1557)","0%","4% (n = 119)","7% (n = 199)",3000
"8",8,"0.05 to 0.19","rho01 = rho02","44% (n = 664)","20% (n = 300)","32% (n = 476)","0%","4% (n = 60)","0%",1500
"9",9,"0.05 to 0.19","rho01 > rho02","42% (n = 1261)","0%","25% (n = 759)","0% (n = 11)","32% (n = 969)","0%",3000
"10",10,"0.20 to 0.29","rho01 < rho02","36% (n = 859)","0%","40% (n = 958)","0% (n = 1)","24% (n = 582)","0%",2400
"11",11,"0.20 to 0.29","rho01 = rho02","15% (n = 180)","16% (n = 193)","34% (n = 403)","0% (n = 1)","35% (n = 423)","0%",1200
"12",12,"0.20 to 0.29","rho01 > rho02","3% (n = 64)","0%","15% (n = 363)","0% (n = 3)","82% (n = 1970)","0%",2400
"13",13,"0.30 to 0.39","rho01 < rho02","11% (n = 191)","0%","28% (n = 513)","0% (n = 2)","61% (n = 1094)","0%",1800
"14",14,"0.30 to 0.39","rho01 = rho02","0%","0%","11% (n = 102)","0%","89% (n = 798)","0%",900
"15",15,"0.30 to 0.39","rho01 > rho02","0%","0%","0% (n = 2)","0%","100% (n = 1798)","0%",1800
"16",16,"0.40 to 0.49","rho01 < rho02","0%","0%","1% (n = 15)","0%","99% (n = 1785)","0%",1800
"17",17,"0.40 to 0.49","rho01 = rho02","0%","0%","0%","0%","100% (n = 900)","0%",900
"18",18,"0.40 to 0.49","rho01 > rho02","0%","0%","0%","0%","100% (n = 1800)","0%",1800
